AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
AdroitHandRelocateDense-v1, AdroitHandHammerDense-v1, AdroitHandDoorDense-v1 environment's reward functions were updated in v1.2.1 without an environment version update. Therefore, use gymnasium-robotics==1.2.0 for v1 reproducibility or use v2 in gymnasium-robotics>=1.4.3. See https://github.com/Farama-Foundation/Gymnasium-Robotics/pull/220 for more details
Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[config] task=pointbutton2
Loaded policy: ${CSC_WORKSPACE}/vlm-with-cpl/new_data/outputs/pointbutton2/bc_calfilt_csf_seed3_policy.pt
Ep 140: R= -2.39  C=  0.00  len=1000
Ep 141: R=  0.54  C=  8.00  len=1000
Ep 142: R=  5.61  C= 10.00  len=1000
Ep 143: R=  6.04  C= 67.00  len=1000
Ep 144: R=  2.39  C=  9.00  len=1000
Ep 145: R= 10.72  C= 55.00  len=1000
Ep 146: R= 26.11  C= 92.00  len=1000
Ep 147: R= -0.39  C=  1.00  len=1000
Ep 148: R= 22.71  C=115.00  len=1000
Ep 149: R= -3.85  C=  0.00  len=1000
Ep 150: R=  4.35  C= 11.00  len=1000
Ep 151: R=  0.54  C= 15.00  len=1000
Ep 152: R=  4.51  C= 18.00  len=1000
Ep 153: R=  3.64  C=  5.00  len=1000
Ep 154: R= -0.78  C=  0.00  len=1000
Ep 155: R=  0.71  C= 31.00  len=1000
Ep 156: R=  5.51  C= 10.00  len=1000
Ep 157: R= -3.15  C=  0.00  len=1000
Ep 158: R= 17.41  C= 87.00  len=1000
Ep 159: R= -1.64  C=  0.00  len=1000
Ep 160: R= -2.13  C=  1.00  len=1000
Ep 161: R= 16.70  C= 20.00  len=1000
Ep 162: R= 18.01  C=316.00  len=1000
Ep 163: R= -2.34  C=  0.00  len=1000
Ep 164: R= 20.56  C= 99.00  len=1000
Ep 165: R= -3.36  C= 34.00  len=1000
Ep 166: R= 13.27  C= 49.00  len=1000
Ep 167: R=  4.94  C=  7.00  len=1000
Ep 168: R= 15.16  C= 65.00  len=1000
Ep 169: R= -0.01  C=  0.00  len=1000
Ep 170: R= -1.66  C=  0.00  len=1000
Ep 171: R= 22.03  C=102.00  len=1000
Ep 172: R=  1.58  C=  0.00  len=1000
Ep 173: R=  1.29  C= 20.00  len=1000
Ep 174: R= 14.41  C= 67.00  len=1000
Ep 175: R=  4.18  C=  3.00  len=1000
Ep 176: R=  8.97  C= 24.00  len=1000
Ep 177: R= -0.84  C=  0.00  len=1000
Ep 178: R=  0.36  C= 24.00  len=1000
Ep 179: R=  8.10  C= 28.00  len=1000
Ep 180: R= -0.08  C= 31.00  len=1000
Ep 181: R= 20.38  C=144.00  len=1000
Ep 182: R= 10.46  C= 54.00  len=1000
Ep 183: R=  2.69  C=  0.00  len=1000
Ep 184: R=  4.76  C= 24.00  len=1000
Ep 185: R= -2.32  C=  0.00  len=1000
Ep 186: R= -2.98  C=  0.00  len=1000
Ep 187: R=  4.00  C= 56.00  len=1000
Ep 188: R=  6.77  C= 14.00  len=1000
Ep 189: R=  3.34  C=  4.00  len=1000
Ep 190: R= -1.75  C=  0.00  len=1000
Ep 191: R=  3.65  C= 11.00  len=1000
Ep 192: R= 21.42  C= 53.00  len=1000
Ep 193: R=  0.99  C=  0.00  len=1000
Ep 194: R= -2.42  C=  0.00  len=1000
Ep 195: R= -3.22  C=  0.00  len=1000
Ep 196: R=  0.22  C=  5.00  len=1000
Ep 197: R=  6.94  C= 32.00  len=1000
Ep 198: R= 12.54  C=  5.00  len=1000
Ep 199: R= 10.44  C= 22.00  len=1000
Ep 200: R= -1.22  C=  3.00  len=1000
Ep 201: R=  1.56  C=  0.00  len=1000
Ep 202: R=  2.14  C=  1.00  len=1000
Ep 203: R=  6.41  C=  5.00  len=1000
Ep 204: R= -1.05  C=  0.00  len=1000
Ep 205: R=  3.75  C= 45.00  len=1000
Ep 206: R= -0.37  C= 20.00  len=1000
Ep 207: R=  7.80  C= 44.00  len=1000
Ep 208: R=  2.41  C= 59.00  len=1000
Ep 209: R=  4.72  C= 34.00  len=1000
Ep 210: R= -2.12  C=  0.00  len=1000
Ep 211: R=  2.62  C=  0.00  len=1000
Ep 212: R=  6.07  C= 47.00  len=1000
Ep 213: R= -2.67  C=  0.00  len=1000
Ep 214: R= 16.60  C=108.00  len=1000
Ep 215: R= -0.89  C= 22.00  len=1000
Ep 216: R= 31.99  C= 95.00  len=1000
Ep 217: R= 22.19  C=146.00  len=1000
Ep 218: R=  1.66  C= 22.00  len=1000
Ep 219: R= -2.97  C=  0.00  len=1000
Ep 220: R= -0.17  C=  3.00  len=1000
Ep 221: R=  0.73  C=  3.00  len=1000
Ep 222: R=  5.65  C= 32.00  len=1000
Ep 223: R=  3.84  C= 17.00  len=1000
Ep 224: R= -1.26  C=  0.00  len=1000
Ep 225: R=  1.27  C=  0.00  len=1000
Ep 226: R=  2.04  C= 42.00  len=1000
Ep 227: R=  2.27  C= 33.00  len=1000
Ep 228: R= -0.87  C= 39.00  len=1000
Ep 229: R= 23.85  C= 68.00  len=1000
Ep 230: R=  9.01  C= 35.00  len=1000
Ep 231: R=  5.45  C= 47.00  len=1000
Ep 232: R=  8.82  C= 16.00  len=1000
Ep 233: R= 19.71  C= 26.00  len=1000
Ep 234: R=  0.48  C= 28.00  len=1000
Ep 235: R=  1.97  C= 25.00  len=1000
Ep 236: R= -0.76  C=  0.00  len=1000
Ep 237: R=  1.99  C=  2.00  len=1000
Ep 238: R= -1.04  C=  0.00  len=1000
Ep 239: R=  6.03  C= 31.00  len=1000
Ep 240: R= -0.60  C=  0.00  len=1000
Ep 241: R= -2.70  C=  2.00  len=1000
Ep 242: R=  2.97  C=  0.00  len=1000
Ep 243: R=  2.14  C=  6.00  len=1000
Ep 244: R=  0.49  C= 15.00  len=1000
Ep 245: R= -1.87  C=  0.00  len=1000
Ep 246: R=  5.84  C=  9.00  len=1000
Ep 247: R=  8.10  C= 24.00  len=1000
Ep 248: R= 16.02  C= 46.00  len=1000
Ep 249: R=  4.22  C=  0.00  len=1000
Ep 250: R=  3.76  C=104.00  len=1000
Ep 251: R= -3.02  C=  0.00  len=1000
Ep 252: R= 16.99  C= 33.00  len=1000
Ep 253: R=  2.08  C=  9.00  len=1000
Ep 254: R= -1.31  C=  0.00  len=1000
Ep 255: R= 10.59  C=  2.00  len=1000
Ep 256: R=  2.48  C= 45.00  len=1000
Ep 257: R= -2.86  C=  0.00  len=1000
Ep 258: R= 19.12  C=127.00  len=1000
Ep 259: R= 12.87  C=109.00  len=1000
Ep 260: R=  3.58  C= 16.00  len=1000
Ep 261: R= -0.85  C=  0.00  len=1000
Ep 262: R=  1.79  C= 60.00  len=1000
Ep 263: R=  2.12  C= 44.00  len=1000
Ep 264: R= 14.05  C=115.00  len=1000
Ep 265: R= -3.23  C= 10.00  len=1000
Ep 266: R=  3.36  C= 43.00  len=1000
Ep 267: R=  7.43  C=  5.00  len=1000
Ep 268: R= -0.89  C=  0.00  len=1000
Ep 269: R= 12.86  C=190.00  len=1000
Ep 270: R=  0.93  C=  0.00  len=1000
Ep 271: R=  4.73  C=  0.00  len=1000
Ep 272: R=  4.09  C= 34.00  len=1000
Ep 273: R= 10.10  C= 44.00  len=1000
Ep 274: R= -1.43  C=  0.00  len=1000
Ep 275: R=  0.53  C= 22.00  len=1000
Ep 276: R=  6.26  C= 62.00  len=1000
Ep 277: R=  0.65  C= 16.00  len=1000
Ep 278: R= -0.40  C=  0.00  len=1000
Ep 279: R=  8.94  C= 21.00  len=1000
Ep 280: R=  9.36  C=119.00  len=1000
Ep 281: R= -2.74  C=  0.00  len=1000
Ep 282: R= -1.94  C=  2.00  len=1000
Ep 283: R=  1.14  C=  0.00  len=1000
Ep 284: R=  7.67  C=  0.00  len=1000
Ep 285: R= 14.26  C=174.00  len=1000
Ep 286: R=  2.40  C= 17.00  len=1000
Ep 287: R=  3.21  C=  6.00  len=1000
Ep 288: R=  4.47  C=  0.00  len=1000
Ep 289: R= 21.51  C=154.00  len=1000
Ep 290: R= -2.36  C= 14.00  len=1000
Ep 291: R=  3.51  C=121.00  len=1000
Ep 292: R=  1.08  C=  3.00  len=1000
Ep 293: R=-23.50  C=  0.00  len=1000
Ep 294: R=  0.41  C=  0.00  len=1000
Ep 295: R=  3.96  C=  0.00  len=1000
Ep 296: R= -4.18  C=  0.00  len=1000
Ep 297: R= 12.39  C=  0.00  len=1000
Ep 298: R=  4.43  C= 32.00  len=1000
Ep 299: R= -1.70  C=  0.00  len=1000
